course_code,units,title,description
EPI 231,3 units,Infectious Disease Epidemiology,"Infectious disease epidemiology and prevention, with emphasis on human and veterinary diseases of global health importance. Major global health epidemics and challenges of infectious diseases, by mode of transmission."
EPI 232,3 units,Advanced Data Analysis with SAS,Provide an overview of common advanced statistical methods as well as a treatment of how to use SAS to implement them. Learn the ideas of reproducible research and reporting of statistical analyses.
EPI 240,3 units,Principles of Injury Epidemiology,"Overview of the epidemiology of human injury, including general principles, surveillance methods, behavioral factors, environmental factors, treatment issues and engineering and legal interventions related to vehicular injuries, drownings, falls, fires and burns, poisonings, firearm injuries, and other intentional injuries."
EPI 242,3 units,Critical Thinking in Epidemiology,Critical thinking in Epidemiology.
EPI 251,3 units,Environmental Epidemiology,"Examination of the human health effects and the risk of disease from community, occupational, and personal exposure to toxic substances."
EPI 260,3 units,Epidemiology of Chronic Diseases & Aging,"Overview of the epidemiology of chronic disease in old age. Topics include biology of aging, epidemiology of cardiovascular disease, neoplasms, osteoporosis and fractures, psychosocial factors and health in old age, dementias, functional status and prevention of disease."
EPI 270,3 units,Research Methods in Occupational Epidemiology,"Methods used in epidemiologic research on occupational hazards. Topics include design and analysis of cohort and case-control studies, sample size, measuring dose, choosing a control group, validation of employment and health data, interpreting negative studies, and analysis software."
EPI 272,2 units,Cancer Epidemiology,"Covers the underlying concepts essential to understanding cancer epidemiology, such as trends in incidence and survival, epidemiologic methods used to assess cancer etiology, prevention and control, and an introduction to the cancer initiation and progression multi-stage model."
EPI 277,3 units,Mathematical Models in Epidemiology,"Theory of epidemics and mathematical modeling concepts for infectious diseases to include discrete and continuous time models, their use to explore disease dynamics and investigate prevention and control strategies for human and veterinary infectious diseases."
EPI 280,3 units,Introduction to SAS Programming,"Introduction to SAS, an integrated software system for data retrieval and management, data manipulation and programming."
EPI 290,0.5 units,Seminars in Epidemiology,Faculty and students will present and lead discussion of ongoing or published epidemiologic research.
EPI 291,1 unit,Seminars in Human Health Services Research & Clinical Epidemiology,"Critical review, evaluation, and discussion of research in health services and clinical epidemiology. Presentation of statistical, epidemiologic, and econometric methods. Students present their own research and critique the work of others."
EPI 298,1-5 units,Group Study,Group study in selected areas of epidemiology.
EPI 299,1-12 units,Research,Research in selected areas of epidemiology.
EVE 002,3 units,Biodiversity,"Introduction to nature, scope and geographical distribution of biodiversity (the diversity of life, with emphasis on plants and animals, especially insects). Humans and biodiversity; domestication, aesthetics, ethics and valuation. Species richness and ""success.""  Biodiversity through time; monitoring, evaluation and conservation. Biomes - global, continental and Californian."
EVE 010,3 units,Evolution for Non-Biologists,Introduction to evolutionary biology for the general population.
EVE 011,4 units,Principles of Ecology,Ecological principles with emphasis on humans and their interactions with the environment; how humans affect and depend on natural ecosystems; the future of the Earth's biosphere.
EVE 012,3 units,Life in the Sea,"Diversity of life in the sea; adaptations to physical/chemical ocean environment; marine science research methods; utilization of living marine resources by humans; factors and processes that influence diversity of sea life, including humans."
EVE 013,3 units,Sex in the Natural World,"Explores the diversity, mechanisms and evolution of sexual behaviors across the kingdoms of life."
EVE 016,4 units,Wild Davis: A California Naturalist Certification Course,"Natural history and urban ecology of Davis. Basics of ecological observation, community science and service, and California’s unique natural communities. If fee is paid, completion of the course provides certification in the UC California Naturalist Program."
EVE 017,3 units,Dining with Darwin: Evolutionary Insights Into Your Diet,"Crave salty, fatty, sugary foods? Want to know why? Evolution of cravings, metabolism and dentition, and of cooking our food. Relate Paleo, South Beach, and vegan diets to ancestral and global diets and current metabolism. For majors and nonmajors."
EVE 020,3 units,Darwinian Medicine,"Introduction for non-biologists to the evolved traits of humans and pathogens that influence human biological variation, health, and disease."
EVE 092,1-12 units,Internship,Work experience off and on campus in all subject areas offered in the Department of Evolution & Ecology. Internships supervised by a member of the faculty.
EVE 098,1-5 units,Directed Group Study,Directed group study.
EVE 099,1-5 units,Special Study for Lower Division Students,Special study for lower division students.
EVE 100,4 units,Introduction to Evolution,General survey of the origins of biological diversity and evolutionary mechanisms.
EVE 101,4 units,Introduction to Ecology,General survey of the principles of ecology.
EVE 101Q,1 unit,Introduction to Computer Models in Ecology,Computational methods and mathematical models used to study ecological phenomena.
EVE 102,4 units,Population & Quantitative Genetics,"Evolution as caused by random mating, genetic drift, natural selection, inbreeding, migration,and mutation in theory and actuality. The resemblance between relatives and consequences of selection for quantitative traits. Application of these ideas to topics such as the evolution of sex."
EVE 103,4 units,"Phylogeny, Speciation & Macroevolution","Statistical inference of evolutionary patterns and processes above the species level. Topics include estimation of phylogenies and divergence times, character evolution, biogeographic history, and rates and patterns of lineage diversification, with an emphasis on the origin of species."
EVE 104,4 units,Community Ecology,"Population growth and density dependence; predation; exploitative, interference and apparent competition; mutualism and facilitation; coexistence mechanisms; niches, spatial and temporal variation etc. Emphasis on quantitative understanding through models, concepts, and empirical evidence."
EVE 105,4 units,Phylogenetic Analysis of Vertebrate Structure,The structure of the classes and subclasses of vertebrates is described and interpreted in terms of phylogeny.
EVE 106,3 units,Mechanical Design in Organisms,"Explores fundamental principles in the form and function of organisms, examining how basic properties of size, shape, structure, and habitat constrain ways in which plants and animals interact and cope with their physical surroundings."
EVE 107,4 units,Animal Communication,"How animals use songs, dances, colors, chemicals, electricity and vibrations to communicate. Mechanisms of signal production and detection (sensory systems), theory of information transfer and signal design, and the role of natural selection in shaping communication."
EVE 109,4 units,Molecular Ecology,Use of molecular tools to answer fundamental questions in ecology and evolution of natural populations. Use of DNA and protein sequences to measure diversity and natural selection within and between populations and species and application to the fields of ecology and conservation. Hands-on manipulation and analysis of data in R.
EVE 110,3 units,"Running, Swimming & Flying","Examines the bases of organism movement in terrestrial, aquatic, and aerial environments, emphasizing both the unifying principles underlying locomotion, as well as a range of strategies employed across diverse groups of organisms."
EVE 111,1 unit,Marine Environmental Issues,"Examination of critical environmental issues occurring in coastal waters including the effects of climate change, overfishing, and other human impacts. Through readings and group discussions, students will develop an integrative understanding of the oceanographic and ecological processes."
EVE 112,3 units,Biology of Invertebrates,"Survey of the invertebrate phyla, emphasizing aquatic forms, and focusing on morphology, development, natural history, ecology, and phylogenetic relationships."
EVE 112L,2 units,Biology of Invertebrates Laboratory,"Field and laboratory experience with representative members of the major invertebrate phyla discussed inEVE 112. Emphasis on comparative morphology, natural history, ecology, and behavior of living invertebrates. Two field trips required."
EVE 114,3 units,Experimental Invertebrate Biology,"Biology, ecology, and evolution of local marine invertebrates with a focus on adaptations to environmental and biological factors encountered on the California coast. Hands-on field and laboratory learning with an emphasis on generating and testing hypotheses."
EVE 115,4 units,Marine Ecology,"Processes affecting the distribution, abundance, and diversity of plant and animal life in the sea. Introduction to marine habitat diversity and human impacts on marine ecosystems."
EVE 117,4 units,Plant Ecology,"The study of the interactions between plants, plant populations or vegetation types and their physical and biological environment. Special emphasis on California. Four full-day field trips and brief write-up of class project required."
EVE 119,3 units,Population Biology of Invasive Plants & Weeds,"Origin and evolution of invasive plant species and weeds, reproduction and dispersal, seed ecology, modeling of population dynamics, interactions between invasive species, native species, and crops, biological control. Laboratories emphasize design of competition experiments and identification of weedy species."
EVE 120,3 units,Global Change Ecology,"Treatment of historical evolution of the biosphere resulting from physical, chemical, and biological influences. Special focus upon changes caused by humans. Topics pertain to biodiversity, resources, conservation, and ecosystem services."
EVE 125,4 units,Ecological Statistics,"Statistical approaches appropriate for discrete counts, small sample sizes, and non-independent observations, applied to ecological data. Principles of probability and likelihood, discrete probability distributions, and generalized linear models, leading to mixed and mixture models."
EVE 127,5 units,Systematics of Vascular Plants,"Diversity, phylogeny, and taxonomy of lycophytes, ferns, and seed plants (gymnosperms and angiosperms), emphasizing relationships and distinguishing characteristics of families and genera represented in the California flora. Principles and methods of phylogeny reconstruction, classification, and plant nomenclature. Practice identifying plants to species using taxonomic keys."
EVE 131,3 units,Human Genetic Variation & Evolution,"Introduction to genome-wide nucleotide sequence variation in human populations and computational methods for its analysis. Topics to include forensics, disease gene mapping, and studies of human evolutionary history. Misuses, such as eugenics, and ethical/legal issues will be discussed."
EVE 138,5 units,Ecology of Tropical Latitudes,"Biological, physical, and human-related aspects of the ecology of low latitudes. Distribution, numbers, and relationships of tropical organisms. Problems of development and conservation in the context of ecological and evolutionary theory."
EVE 140,4 units,Paleobotany,"Introduction to plant fossil record, beginning with invasion of land in the Silurian, emphasizing origin and evolution of major groups and adaptations and changing composition and distribution of floras in relation to plate tectonics and climatic change."
EVE 141,3 units,Principles of Systematics,"Historical background, philosophical rationale, contemporary approaches, and working rules of biosystematics, including International Code of Zoological Nomenclature."
EVE 147,4 units,Biogeography,"Movements of terrestrial organisms. The role of geologic, climatic, and biologic changes in the geographic distribution of organisms."
EVE 149,4 units,Evolution of Ecological Systems,"Evolution as an organizing force in natural communities. Coadaptation in trophic and competitive relationships. Ecology of polymorphisms, clines, and speciation."
EVE 150,3 units,Evolution of Animal Development,Comparative analysis of animal development and the genetic basis of morphological diversification.
EVE 161,3 units,Microbial Phylogenomics; Genomic Perspectives on the Diversity & Diversification of Microbes,"Use of DNA and genomic sequencing in studies of the diversity of microorganisms. Diversity of microbes, phylogenetics, genome sequencing, comparative genomics, phylogenomics, lateral gene transfer, molecular ecology, metagenomics, and studies of the human microbiome."
EVE 175,3 units,Computational Genetics,"The use of computers to solve problems in genetics and evolution. Introduction to a general purpose computer language (Python),  computational statistical methods, and applications such as QTL mapping, linkage detection, estimation of rates of evolution, and gene finding."
EVE 180A,4 units,Experimental Ecology & Evolution in the Field,"Experimental design in field ecology. Examination of primary literature, experimental design, independent and collaborative research, analysis of data, development of original research paper based on field experiments."
EVE 180B,4 units,Experimental Ecology & Evolution in the Field,"Experimental design in field ecology. Examination of primary literature, experimental design, independent and collaborative research, analysis of data, development of original research paper based on field experiments."
EVE 181,4 units,Ecology & Evolution of Animal-Plant Interactions,"Animal adaptations for eating plants, pollinating flowers, dispersing seeds. Plant adaptations to herbivore defense, attraction of mutualists; role of coevolutionary arms race, mutualists and cheaters in plant/animal speciation. Exploration through lectures, original scientific literature, discussions and term paper."
EVE 189,1 unit,Introduction to Biological Research,"Introduction to research methods in biology. Presentation and discussion of research by faculty, graduate, and undergraduate students."
EVE 190,2 units,Undergraduate Seminar,"Student reports on current topics with emphasis on integration of concepts, synthesis, and state-of-the-art research approaches. Reviews of literature and reports of undergraduate research may be included."
EVE 192,1-12 units,Internship,Work experience off and on campus in all subject areas offered in the Department of Evolution & Ecology. Internships supervised by a member of the faculty.
EVE 194HA,2 units,Research Honors,Students pursue intensive research under the guidance of a faculty advisor. Students are expected to complete the full three-quarter sequence culminating in the writing of an honors thesis.
EVE 194HB,2 units,Research Honors,Students pursue intensive research under the guidance of a faculty advisor. Students are expected to complete the full three-quarter sequence culminating in the writing of an honors thesis.
EVE 194HC,2 units,Research Honors,Students pursue intensive research under the guidance of a faculty advisor. Students are expected to complete the full three-quarter sequence culminating in the writing of an honors thesis.
EVE 197T,1-2 units,Tutoring in Biological Sciences 2B,Assisting the instructor by tutoring students in a Biological Sciences 2B laboratory. Tutoring is voluntary and is supervised by a Laboratory Teaching Assistant and the Laboratory Coordinator.
EVE 198,1-5 units,Directed Group Study,Directed group study.
EVE 199,1-5 units,Special Study for Advanced Undergraduates,Special study for advanced undergraduates.
EVE 210,3 units,Molecular Phylogenetic Analysis,"Theory and practice of inferring phylogenetic trees using molecular sequence data. Practical techniques for obtaining sequence data, advantages and disadvantages of common approaches for inferring trees, statistical methods for comparing alternative hypotheses."
EVE 211,3 units,Applied Phylogenetics,"Applications of phylogenetic methods to fields outside of systematics. Core lectures/labs in remedial phylogenetics, phylogeography, conservation and comparative morphology. Special topics vary yearly."
EVE 220,3 units,Species & Speciation,"Current status of species concepts, models of speciation, current research on speciation, and relevance of species to conservation biology."
EVE 225,4 units,Linear Mixed Modeling in Ecology & Evolution,Analysis of clustered data requires hierarchical or mixed statistical models. Conceptual basis and practical application of linear (mixed) models. Examples drawn from evolutionary and behavioral ecology. Hands-on manipulation and analysis of data in R.
EVE 231,3 units,Principles of Biological Data Analysis,"Introduction to the principles of data analysis, experimental design, statistical modeling, inference, and hypothesis tests. Statistical methods of particular importance in biological applications will be emphasized. Examples will be presented from the fields of ecology and evolutionary genetics."
EVE 240,4 units,Paleobotany & Angiosperm Evolution,"Critical analysis of the plant fossil record as a source of evidence on origin, evolution, and phylogeny of the angio-sperms, Cretaceous and Tertiary climates, geographic history of modern taxa, and origin of modern vegetation types."
EVE 290C,1 unit,Research Conference,Presentation and discussion of faculty and graduate student research in biology.
EVE 298,1-5 units,Group Study,Group study.
EVE 299,1-12 units,Research,Research.
EVE 390,2 units,Methods of Teaching,"Practical experience in the methods and problems of teaching. Includes analyses of texts and supporting material, discussion of teaching techniques and preparing and conducting of laboratory and discussion sections."
EXB 090C,1 unit,Research Conference,Research findings and methods in exercise biology. Presentation and discussion of research by faculty and students.
EXB 090X,1-2 units,Lower Division Seminar,Gives freshman or sophomore level students the opportunity to study a special topic in the general area of Exercise Biology in a small class setting.
EXB 092,1-5 units,Exercise Biology Internship,"Work experience in the application of physical activity programs to teaching, recreational, clinical or research situations under department faculty supervision."
EXB 097T,1-5 units,Tutoring in Exercise Biology,Assisting the professor by tutoring students in exercise biology course-related projects.
EXB 097TC,1-5 units,Tutoring Exercise Biology in the Community,Tutoring in the community in exercise biology related projects under the guidance of the faculty.
EXB 098,1-5 units,Directed Group Study,Directed group study.
EXB 099,1-5 units,Special Study for Undergraduates,Special study for undergraduates.
EXB 101,4 units,Exercise Physiology,"Physiology of Exercise; acute responses and adaptations to training. Neuromuscular function; bioenergetics; metabolic responses to acute exercise; adaptation to trainings; cardiorespiratory; and, applications to environmental physiology, and human health."
EXB 102,4 units,Introduction to Motor Learning & the Psychology of Sport & Exercise,"Theoretical and practical issues in motor learning, sport psychology, and exercise psychology are examined. Emphasis is placed on how motor skills are acquired and retained, and on the application of social psychology and human motivation studies to human performance."
EXB 106,4 units,Human Gross Anatomy,"Detailed study of the gross anatomical structure of the human body, with emphasis on function and clinical relevance to students entering health care professions."
EXB 106L,3 units,Human Gross Anatomy Laboratory,Detailed study of prosected human cadavers in small group format with extensive hands-on experience.
EXB 110,3 units,Exercise Metabolism,"Exercise metabolism, with emphasis on skeletal muscle and cardiac muscle metabolism during activity and inactivity. Basics of bioenergetics, substrate utilization, and cell signaling; mechanisms that regulate these properties, and differences between skeletal muscle and cardiac muscle metabolism."
EXB 112,4 units,Clinical Exercise Physiology,"Physical activity as a therapeutic modality in normal and diseased populations (cardiovascular, pulmonary, diabetic). Effects of exercise and inactivity in terms of normal physiology, pathophysiology, and therapeutic benefit. Exercise fitness and disease assessment methods."
EXB 115,3 units,Biomechanical Bases of Movement,"Biomechanical bases of human movement investigated; topics include musculo-skeletal mechanics, tissue mechanics, electromyography, and measurement and analysis techniques. Application made to sport, clinical, and work environments, including extensive analysis of locomotion."
EXB 116,3 units,Nutrition for Physically Active Persons,"The role of nutrition and exercise in modifying metabolism, body composition, performance and health of humans."
EXB 117,3 units,Exercise & Aging in Health & Disease,"Etiology of and standard therapy for various diseases associated with inactivity and aging; e.g., cardiovascular, pulmonary, diabetes, obesity, lipemias, etc. Exercise will then be considered as a protective and/or therapeutic modality."
EXB 121,3 units,Advanced Sport Psychology,Advanced study and consideration of major theoretical and practical issues in sport psychology. Emphasis on practical application to sport and human performance.
EXB 122,3 units,Psychological Effects of Physical Activity,"Physical activity is evaluated in terms of its ability to enhance the quality of life. Topics studied include:  individual factors (self concept, type A); special populations (elderly, cardiovascular); and mental health changes (depression, anxiety)."
EXB 124,4 units,Physiology of Maximal Human Performance,"Molecular mechanisms underlying adaptation to training. Learn how to exercise to maximize their own performance as well as learning how the frequency, intensity and timing of exercise and nutrition affect the molecular signals that underlie performance."
EXB 125,3 units,Neuromuscular & Behavioral Aspects of Motor Control,"Factors which affect control of movement from neuropsychological, physiological, behavioral, and mechanical viewpoints. Topics include central vs. peripheral control mechanisms, open and closed loop theories, motor programming, cognitive learning strategies, and the effects of biochemical and biomechanical influences."
EXB 148,1 unit,Theory & Practice of Exercise Testing,Theory and practice of exercise testing applied to older adult populations. Physiological responses to and limitations of exercise testing. Application of exercise testing and training to healthy and diseased populations.
EXB 179,3 units,Frontiers in Exercise Biology,Lectures by leading authorities and discussion of the latest research in newly emerging areas in exercise biology. Offered every fourth year.
EXB 189,4 units,International Perspectives in Exercise Biology,"Compare and contrast exercise science issues between the US and an international location. Identify political, economic, cultural, technological and environmental issues that impact human exercise, physical activity, wellness, and sport from a global perspective."
EXB 190C,1 unit,Research Conference,Research findings and methods in exercise biology. Presentation and discussion of research by faculty and students.
EXB 192,1-12 units,Exercise Biology Internship,"Work experience in the application of physical activity programs to teaching, recreational, clinical or research situations under program faculty supervision. Written report required."
EXB 194H,2 units,Research Honors,"Completion of individual honors research project in Exercise Biology, under the guidance of an Exercise Biology faculty advisor, culminating in written honors thesis."
EXB 197T,1-5 units,Tutoring in Exercise Biology,Assisting the instructor by tutoring students in exercise biology course-related projects.
EXB 197TC,1-5 units,Tutoring Exercise Biology in the Community,Tutoring in the community in exercise biology related projects under the guidance of the faculty.
EXB 198,1-5 units,Directed Group Study,Directed group study.
EXB 199,1-5 units,Special Study for Advanced Undergraduates,Special study for advanced undergraduates.
EXS 201,3 units,Exercise Cardiorespiratory Physiology,"Advanced course on integrated responses of the cardiovascular and respiratory systems to exercise. Includes hemodynamic, neurohormonal, and autonomic aspects of cardiac and vascular function, principles of myocardial metabolism, and mechanisms underlying changes in pulmonary function and gas transport."
FAP 092C,2 units,Primary Care Clinic,"Students must apply and interview with the Board of Clinica Tepati or Imani Clinic. Field experience exposes lower division students to health care delivery, patient histories, physical examinations,health promotion, disease prevention, diagnosis; treatment of episodic,acute,chronic illness; appropriate referral and follow-up."
FAP 192C,1-2 units,Primary Care Clinics,"Students must apply and interview with the Board of Clinica Tepati or Imani Clinic. Field experience introduces students to health care delivery, patient histories and physical examinations, health promotions and disease prevention, diagnosis and treatment of episodic, acute and chronic illness, basic laboratory testing and appropriate referral and follow-up."
FAP 195,1 unit,Health Care to Underserved Populations,Discusses sociocultural perspectives of underserved populations in California impacting their health; roles of family/interpersonal relationships in making health care decisions; and clinician's perspectives in treating people of cultures which are unfamiliar and/or uncomfortable with Western medicine.
FAP 401,3-9 units,Introductory Preceptorship in Family Practice,"Preceptorship in family practice offered as an introduction to clinical medicine. 20 hours or 40 hours per week in a family physician's office, doing patient interviews, historytaking, and performing physical exams."
FAP 405,1 unit,The Healer's Art,"Learning to strengthen your humanity and remain open-hearted can make the difference between burnout and a fulfilling life. Learn tools for selfcare, healing, finding meaning, strengthening commitment and becoming a true physician."
FAP 411,3 units,Selected Studies of Systems for Chronic Illness Care,"Understanding of chronic illness, particularly diabetes, participate in patient care, alternative techniques."
FAP 430,3-12 units,Family Medicine Clerkship,Family medicine clerkship for third year medical students.
FAP 430FA,1.5-6 units,SJVP Longitudinal Family Medicine Clerkship,"Longitudinal Family Medicine Clerkship runs concurrently with Internal Medicine, Pediatrics and Psychiatry for 32 weeks. Time is spent in direct patient care situations under the guidance of faculty."
FAP 430FB,1.5-6 units,SJVP Longitudinal Family Medicine Clerkship,"Longitudinal Family Medicine Clerkship runs concurrently with Internal Medicine, Pediatrics and Psychiatry for 32 weeks. Time is spent in direct patient care situations under the guidance of faculty."
FAP 430FC,1.5-6 units,SJVP Longitudinal Family Medicine Clerkship,"Longitudinal Family Medicine Clerkship runs concurrently with Internal Medicine, Pediatrics and Psychiatry for 32 weeks. Time is spent in direct patient care situations under the guidance of faculty."
FAP 430FD,1.5-6 units,SJVP Longitudinal Family Medicine Clerkship,"Longitudinal Family Medicine Clerkship runs concurrently with Internal Medicine, Pediatrics and Psychiatry for 32 weeks. Time is spent in direct patient care situations under the guidance of faculty."
FAP 430R,2 units,Rural PRIME Family Medicine Longitudinal Clerkship,Family Medicine Longitudinal Integrated Clerkship for the Rural PRIME Program.
FAP 430RA,3 units,Rural PRIME Family Medicine Longitudinal Clerkship,Family Medicine Longitudinal Integrated Clerkship for the Rural PRIME Program.
FAP 430RB,3 units,Rural PRIME Family Medicine Longitudinal Clerkship,Family Medicine Longitudinal Integrated Clerkship for the Rural PRIME Program.
FAP 430RC,3 units,Rural PRIME Family Medicine Longitudinal Clerkship,Family Medicine Longitudinal Integrated Clerkship for the Rural PRIME Program.
FAP 430RD,1 unit,Rural PRIME Family Medicine Longitudinal Clerkship,Family Medicine Longitudinal Integrated Clerkship for the Rural PRIME Program.
FAP 430TA,4 units,TeachMS Longitudinal Primary Care Clerkship (A),"Longitudinal Clerkship runs concurrently with Internal Medicine and Psychiatry for 24 weeks. Time is spent in direct patient care situations under the guidance of faculty. On-going patient write-ups, rounds, conferences are required."
FAP 430TB,6 units,TeachMS Longitudinal Primary Care Clerkship (B),"Longitudinal Clerkship runs concurrently with Internal Medicine and Psychiatry for 24 weeks. Time is spent in direct patient care situations under the guidance of faculty. On-going patient write-ups, rounds, conferences are required."
FAP 430TC,2 units,TeachMS Longitudinal Primary Care Clerkship (C),"Longitudinal Clerkship runs concurrently with Internal Medicine and Psychiatry for 24 weeks. Time is spent in direct patient care situations under the guidance of faculty. On-going patient write-ups, rounds, conferences are required."
FAP 431,1 unit,Introduction to Primary Care Continuity Clinic,"Longitudinal component of the third-year primary care curriculum. Attend clinic roughly 18 half-days over the course of the year, working one-on-one with a primary care preceptor."
FAP 431A,1 unit,Primary Care Continuity Clinic,"Longitudinal component of the third-year primary care curriculum. Attend clinic roughly 18 half-days over the course of the year, working one-on-one with a primary care preceptor."
FAP 431B,1 unit,Primary Care Continuity Clinic,"Longitudinal component of the third-year primary care curriculum. Attend clinic roughly 18 half-days over the course of the year, working one-on-one with a primary care preceptor."
FAP 431C,1 unit,Primary Care Continuity Clinic,"Longitudinal component of the third-year primary care curriculum. Attend clinic roughly 18 half-days over the course of the year, working one-on-one with a primary care preceptor."
FAP 431D,1 unit,Primary Care Continuity Clinic,"Longitudinal component of the third-year primary care curriculum. Attend clinic roughly 18 half-days over the course of the year, working one-on-one with a primary care preceptor."
FAP 431KA,6 units,ACE-PC Continuity Clinic,"Longitudinal clinic component of the second year of the ACE-PC Program. Start with a four-week immersion experience and then 12 additional half-days over the course of the year, working one-on-one with a primary care preceptor."
FAP 431KB,0.5 units,ACE-PC Continuity Clinic,"Longitudinal clinic component of the second year of the ACE-PC Program. Start with a four-week immersion experience and then 12 additional half-days over the course of the year, working one-on-one with a primary care preceptor."
FAP 431KC,0.5 units,ACE-PC Continuity Clinic,"Longitudinal clinic component of the second year of the ACE-PC Program. Start with a four-week immersion experience and then 12 additional half-days over the course of the year, working one-on-one with a primary care preceptor."
FAP 431KD,0.5 units,ACE-PC Continuity Clinic,"Longitudinal clinic component of the second year of the ACE-PC Program. Start with a four-week immersion experience and then 12 additional half-days over the course of the year, working one-on-one with a primary care preceptor."
FAP 434,1-12 units,Primary Care Clinics-Clínica Tepati,"Learn counseling, diagnosis and treatment of patients with chronic and acute disease under supervision of physician. Provides exposure to special health care needs of various ethnic and poverty-level populations."
FAP 435,1-12 units,Primary Care Clinics-Imani Clinic,"Learn counseling, diagnosis and treatment of patients with chronic and acute disease under supervision of physician. Provides exposure to special health care needs of various ethnic and poverty-level populations."
FAP 436,3-12 units,Continuity Clinic in Primary Care; Shifa Clinic,"Learn counseling, diagnosis and treatment of patients with chronic and acute disease under supervision of physician. Provides exposure to special health care needs of various ethnic and poverty-level populations."
FAP 437,1-12 units,Primary Care Clinics: Knights Landing,"Learn counseling, diagnosis and treatment of patients with chronic and acute disease under supervision of physician. Provides exposure to special health care needs of various ethnic and poverty-level populations in the community of Knights Landing."
FAP 438,1-12 units,Primary Care Clinics - River Clinic,"Learn counseling, diagnosis and treatment of patients with chronic and acute disease under supervision of physician. Provides exposure to special health care needs of various ethnic and poverty-level populations."
FAP 439D,1-12 units,Directed Clinical Studies in Family Medicine,Individual directed studies in extended preparation for modified curriculum or to complete a clinical rotation following a leave of absence.
FAP 439R,1-12 units,Directed Studies in Family Medicine,Individual directed studies in extended preparation for remediation of all or part of clinical rotation. Clinical studies to accommodate and satisfy remedial work as directed by the Committee on Student Progress and approved by the course IOR.
FAP 444,3-18 units,Advanced Preceptorship in Family Medicine,Preceptorships with primary care physicians in a variety of settings. Acquisition skills to evaluate and devleop a treatment plan for patients with common medical problems seen by primary care physicians in an out patient setting.
FAP 450,3-18 units,CAM in Family & Community Health,"Complementary and alternative medicine courses at away institutions that cover various aspects of integrative medicine, including but not limited to: botanicals, homeopathy, mind/body, naturopathy, nutrition, traditional Chinese medicine, osteopathy, and energy medicine. Intended to grant units for away rotations; not offered at the UC Davis Medical Center."
FAP 454,3-12 units,Away Advanced Clinical Clerkship in Family Medicine,Preceptorships with primary care physicians in a variety of settings. Acquisition skills to evaluate and develop a treatment plan for patients with common medical problems seen by primary care physicians in an out patient setting.
FAP 460,3-6 units,Geriatrics in Community Health,"Visits to community agencies including mental health teams, adult day health centers, a diagnostic and research center, and case management specialists. Observation and participation in MMSE's, patient-family conferences, interdisciplinary team meetings, neuropsychiatric testing and home visit evaluations."
FAP 468,3-12 units,International Preceptorship,"Preceptorship with a family practitioner in a foreign country (Arranged by student contact or with assistance of the Family and Community Medicine Department.) Participate in clinical activities, analyze and report characteristics of the practice."
FAP 469,3-12 units,Inpatient Acting Internship in Family Medicine,Comprehensive primary medical care of inpatients on a family medicine hospital service. Available sites are university-based family medicine residency programs and programs within the UC Davis Network of Affiliated Family Medicine Residency Programs.
FAP 470,3-12 units,Inpatient Clinical Elective in Family Medicine,Comprehensive primary medical care of patients on a family medicine hospital service. Usually includes inpatient and outpatient experience.
FAP 475,3-12 units,Combined Inpatient/Outpatient Clinical Elective in Family Medicine,Combined inpatient and outpatient elective. Consists of comprehensive primary medical care of patients on a family medicine hospital service and in a family medicine outpatient clinic.
FAP 479,3-12 units,Away Inpatient Acting Internship in Family Medicine,Comprehensive primary medical care of inpatients on a family medicine hospital service.
FAP 488,1-9 units,Selected Studies in Family Practice,Assigned readings in family practice to increase understanding on selected topics relating to family medicine and primary health care delivery; visits to and written analysis of selected health care programs; and/or exposure to family practice with a community physician preceptor.
FAP 490,1 unit,Health Care to Underserved Populations,Discusses sociocultural perspectives of underserved populations impacting health; roles of family/interpersonal relationships in making health care decisions; the nature of ethnic/racial/socioeconomic health care disparities; and clinicians' perspectives in treating people of cultures which are unfamiliar and/or uncomfortable with Western medicine.
FAP 493,6 units,Aging & Health,"Is disease and infirmity the inevitable consequence of aging? We will spend four weeks exploring this question by reviewing the biology of aging, physiologic changes seen in aged individuals and disease processes commonly found in elderly persons."
FAP 495,1 unit,LGBTIQQA Healthcare Lecture Series,Increase the awareness of medical issues surrounding the LGBTIQQA community and arm students with knowledge of the health disparities the community faces. Provide better quality care to the LGBTIQQA patients cared for as physicians.
FAP 496,6 units,Advanced Transgender & Gender Nonbinary (TGNB) Health,"Focuses on cultural competency in caring for Transgender & Gender Nonbinary (TGNB) patients, including awareness of health disparities."
FAP 498,1-5 units,Directed Group Study,Explore in-depth various topics in primary care. Extensive contact with and oversight by instructor.
FAP 499,1-12 units,Research,Research in various aspects of the health care delivery system.
FPS 100,3 units,Principles of Polymer Materials Science,"Basic principles of polymer science are presented including polymer structure and synthesis; polymerization mechanisms, polymer classes, properties, and reactions; polymer morphology, rheology, and characterization; polymer processing."
FPS 110,4 units,Plastics in Society & the Environment,"Basic concepts and methodologies in the study of plastics. Formation, classification, structure, properties, processing, and formulation. Their application to societal needs, and their impact on society and the environment."
FPS 150,3 units,Polymer Syntheses & Reactions,"Organic and physical chemistry aspects of polymer syntheses and reactions including polymerization mechanisms, kinetics and thermodynamics for major types of organic high polymers."
